testId,1,2,3,timeSpent,uid
53726,,1,54,86,178b3448a6dfd27ecb4a
53818,2,,20,18,d3302a768ce4d7465294
53826,,1,20,32,02d4f7e79c74a00d2ce6
54142,,,,9,d7e70a47ab4d15fd788c
54160,,1,30,27,e8c3479220a0a9fdd573
64259,,2,5,35,a65e20b22ecf7d1ebf25
64278,,2,6,20,14ab158f4ee941599787
64302,2,,0,22,55c56f2b687f03c29698
65011,2,,4,62,c9f083c2acbc80ab8010
67554,2,,,23,67eb5989fd9cd075ffb8
68748,,1,54,39,660fc5ecc87ea4b80c38
68752,2,,34,16,902a1d28325eddab18b9
68805,,1,47,150,d9146d8a963fa0752d38
68822,2,,50,40,18dfd52f4037b1b5d66b
68895,2,,35,19,d2aea6951cb22cf29a62
68935,,1,,130,cc21c3b08aa5232e7115
68945,,1,50,80,1aa4dee731364ffe2fc7
68982,,1,,41,0eaf04b3b21f64d5aaa4
69005,,1,30,45,fe051f87b1ee4f78a08e
69030,,1,50,19,014dcdc15468134853ae
69055,,1,54,33,4d329078460bda33c219
69097,2,,34,13,2286545f307f1e4308fd
69119,,1,20,24,13918e631e6663364c70
69120,,1,20,11,13918e631e6663364c70
69133,2,,50,37,f5bdb4539fc7d638bdd8
69142,2,,37,34,853ff99fd4ac2054509f
69141,1,,66,64,ee10fd892d9478fe8b5b
69291,2,,30,17,ba66356ac29adfd811dc
69293,2,,6,29,257adaa37c5e68c26801
69303,,1,50,9,ef56d811a16bd797fe98
69403,,1,50,22,84f5d57912416f0b4175
69436,,1,30,9,d3785a4fa04768c22428
69495,2,,35,13,d385b80af577b311c762
69536,,1,54,90,8a45b277145270c836d8
69540,2,,33,28,17559239ccbdf988fd5d
69573,2,,30,13,9fb52a87517e502c127b
69680,,2,10,19,fdec3abb7f90d8628c2a
69968,,1,12,24,0cd5ed7c4e382f4b8003
69979,,2,,41,61430a1f25d01e69b389
70095,,2,2,24,d9b72b38b48e196a229c
70232,2,,60,23,a7bc251ef2cb1e035323
70241,,1,22,23,070b420ef4ddde1471d2
70313,2,,50,24,29ffc44303b489bb2d52
70347,2,,58,20,fa5c7473398e9372358c
70417,,1,50,147,075412a48aa6f8611c10
70425,2,,,33,10b55376b98234599bad
70427,2,,50,54,10b55376b98234599bad
70459,,2,6,76,04abaa9c6b7bfb0e653b
70648,,2,10,115,ef181cacd52e160f5fc9
70718,2,,2,21,76afa22b3a5fecf79671
70751,2,,,50,3429da2f52d36e0ec6f0
70839,,2,3,29,815c37a7505ccf794a23
70867,2,,50,46,5a6039723b322755ba76
70427,,,,1,10b55376b98234599bad
70885,,2,10,30,c7d6d61e83e241f0821b
71046,1,,87,11,8e8fcd00f8644d64dc5e
71065,1,,70,44,3743818193f565869cc7
71091,,1,15,88,47f528add2a1c3040fdf
71161,2,,35,41,4eef3a6892bc06beb387
71192,2,,20,28,df8e3627d7b0786578d5
71219,,2,8,16,cbe6fe7da138c47a30f3
71281,1,,112,20,a3e0e8d823a355e293ed
71364,,1,15,14,2f61ae1e6558f9b09604
71459,2,,50,35,48c2f025984f9f00bfa2
71522,,1,20,19,d5ebd2c65f2d74519623
71546,,1,30,21,a439a64c818ac7cb09e5
71551,2,,,20,14efd0f765a4dec35dbb
71569,2,,55,53,989de5b51bda1d8aa8e6
71627,,1,15,15,a231bfdcc1457e6e72bd
71710,2,,25,35,7c4b46959c143b9d6bad
71756,,2,6,54,5cbd9766a3df7992a836
71345,,,,14,ae2617f3baed7897e5f6
71853,2,,,30,19d64521eb6bad79859f
71888,2,,40,16,e9e1508ad9a57b990cbd
71577,,,,1,989de5b51bda1d8aa8e6
72167,2,,,16,176319db4edab822e4ed
72268,2,,56,28,c8bc52a655ffef3103ad
72291,,1,54,30,3971cbdfc963897b6ae1
72393,,2,9,22,a5df34e7d8f7aaade7f3
72465,2,,20,118,1048177c38c500599d87
72484,2,,57,32,15173598cd18d9b3dcd2
73077,,1,20,13,1313b411c53d6e191c52
73085,,1,,16,97c2b60c582715bcb286
73457,2,,20,57,7f7f063998c4a6079c30
73163,,1,33,465,81c85af5dc0d52469186
73625,,1,55,28,9343f3c1b69eb56c2cda
73745,2,,30,11,77480f94862f4f3fd6ef
