testId,1,2,3,timeSpent,uid
76054,,1,1300,22,46c9647a0d12a677379d
76055,2,,85,26,92952adf02e2ae28bf25
76088,1,,120,22,698464d5e720ecc6f7cb
76125,,1,1100,13,ec823742e5032813d8e4
76149,,2,950,32,c24fbca43ed0c108eb82
76228,,2,650,18,2890298ec53ff6ddab1a
76242,1,,100,18,d18faff80a49b123303c
76299,1,,238,116,b7c263c83e668cda3882
76307,1,,112,13,ff9c43e64a9db8edff8f
76317,,2,900,26,7c8bdbe267c267e97022
76366,1,,125,20,af95a6f1fdb1d5ea2e47
76367,1,,185,36,23416ba818ea0382d9cb
76402,1,,200,16,0f21ee310c0ec4b7a801
76418,,2,250,35,9bae83ec357d2b8a4f5c
76446,,2,897,15,a1c06b380c863fbe996a
76488,1,,239,46,62818b3baff7075e5c62
76501,,2,345,10,62818b3baff7075e5c62
76521,1,,300,44,3fee5e414ac6db7ed7ac
76536,,2,500,26,1b48bc332adea88d3dc7
76571,,2,800,12,14681796751dee16b0c0
76595,1,,90,25,471d5f86f8c323c1a92e
76617,,2,500,36,facbd0a03479a10dedc5
76652,2,,70,32,c17516bd848bc473da56
76695,,1,1000,47,feea6219de12ccbccedd
76706,,2,400,36,22b6a8f4b8480bf535fd
76813,1,,160,30,036cd22afeffb079ab3c
76828,2,,80,11,474bf494cc2862d09043
76843,1,,200,16,4f4361f64aa2c33b2e69
76857,1,,120,31,61c558fd40e63d897ae0
76859,1,,300,13,1b48bc332adea88d3dc7
76877,,2,800,46,3d7b01c1b702c8c439e7
76893,1,,40,17,14fc8690a5502ba387e2
76924,1,,110,27,7eff56ecfbe19d8db2b3
76965,,2,40,12,14fc8690a5502ba387e2
77046,1,,12,48,67efa95283df21e77d94
77113,1,,450,15,e8db074432b497daff91
77118,,1,1600,13,ac9ce46f28578a9e74a8
77143,,1,2000,17,61ff56b129b8a62574bf
77130,,1,2000,29,c051ed1b4358c2704fd9
77154,,1,1500,13,c051ed1b4358c2704fd9
77164,1,,380,37,527d91320bf4b7460b28
77202,,1,1500,28,8b1b7f204a0f052dfd2c
77214,1,,300,31,90c9b8e5da32189b9da7
77243,,1,2000,13,fe4ccf133d2e5818095f
77266,1,,125,21,1a1d896fa3c2fc05aa28
77283,1,,127,16,036cd22afeffb079ab3c
77297,2,,60,9,ac253ffc84d829de35b3
77349,,2,380,193,527d91320bf4b7460b28
77407,,2,100,16,0c77107ed457ce58e270
77459,1,,100,32,bb69f019dce25366f0a7
77463,,1,5000,72,58461bb326d4686e277a
77506,,2,100,26,a0d120402dd2f4043057
77561,,2,380,30,c5794340c46e1daff9ee
77596,1,,300,20,b6ef2d069b7616510f12
77606,,2,400,12,111b872ebede0068c320
77623,2,,20,15,14fc8690a5502ba387e2
77678,,2,700,33,955814bc3b50bebc57b9
77684,2,,80,21,2bb35ea2939bc63c0820
77691,1,,400,27,e1d4e0b9d6be2f01ba67
77714,,2,50,9,2bb35ea2939bc63c0820
77742,,2,400,9,e1d4e0b9d6be2f01ba67
77863,1,,121,41,1bec5f3a45b3b6a4a543
77891,1,,600,28,95a78560a485003d8871
77882,,2,376,13,7c8bdbe267c267e97022
78035,1,,95,25,3871f6cebab7cfe1efa1
78063,,2,250,19,a9da76bd52699c746cc8
78218,1,,100,20,7478db76107de9a6d173
78315,,2,200,53,6f32f626f5df65839620
78335,1,,326,13,712d3415fc8dec7ad66f
78477,,1,6000,16,047053a479df7a748ab2
78511,1,,86,48,5870f03a14ce993206b2
78492,2,,100,17,64ee3492757e64b0ca28
78672,,2,350,62,daeb8a598a6537688002
78755,1,,200,15,be559ea9ebc681ac40a4
78741,,2,626,39,712d3415fc8dec7ad66f
78819,,2,500,37,8cafbc172fb1ad1f8b91
78858,1,,85,15,5870f03a14ce993206b2
78885,1,,86,8,5870f03a14ce993206b2
78920,,1,2500,105,fa391b4d9af496988eff
79081,,2,750,24,f456722d91f66e641751
79200,1,,,26,b63008ea9c39ef7c7a0f
79485,1,,300,11,0c67c10dc767bbf2241d
79521,1,,120,43,7705be00367b46c0ce1c
79691,1,,150,50,2c4890db386c704cd6b4
79919,,2,883,25,77a1aa3e4014b5c16165
80182,1,,379.7,44,878f94c55f062dfc3127
80160,1,,90,12,07832632bb41452a59cb
80192,1,,86,8,5870f03a14ce993206b2
80260,1,,160,27,5ec2b303f7c0e48886cb
80239,,1,1005,17,1ead1e80e8bc293a8bf8
80318,1,,100,55,3ae9a0e4d745775598dd
80452,,1,1001,7,6ba03fd26901dc198ffa
80441,1,,125,96,218f0bed8a8f7c7af4d4
80524,,1,1200,25,464c043903703ec2049a
80609,1,,110,62,2acb9c4edc705b2081e6
80611,,2,250,27,9c455bcd89ddd633ff80
80915,,1,125,17,218f0bed8a8f7c7af4d4
80918,,2,300,49,0a4d12396aeb0b3e249e
81108,,1,1500,20,8f79010285881a32b631
81357,,1,2000,14,899d7c9602f51f80eadc
81639,,2,300,76,922b97c22a4042616ef8
81802,1,,100,20,36e9b2042f2cf6f4d3e8
81861,,2,300,72,61a739bfa5100d02985e
81920,,2,300,13,36e9b2042f2cf6f4d3e8
82071,1,,175,39,47818b7fb11fbe92ce42
82120,,2,1000,26,782a4b1b604b8691d383
82173,,2,215,19,6e04781b96c79313bb76
82550,1,,400,14,8f950808729e43e7dfa4
82620,,1,4000,35,179125af67c1abc80851
82663,,1,1700,38,a7ef326e776411f35592
82670,1,,86,7,a26a8f0da71a14cfc922
82681,,1,2300,18,6af46aac8c125094feb3
82781,1,,400,35,4d94c745b9c69b4f8d5e
82815,1,,200,12,2c5f3016caa1a9a978af
82912,1,,300,13,b2e9673476827cd3cb36
83010,1,,100,16,0ae59414803d83c6fb1f
83027,,2,800,23,e1144a59d74ed78d37fc
83058,1,,850,64,462db9d5e0d86f6f33dc
83394,1,,300,25,dd82329f80d2f12f84c7
83426,1,,100,35,638473b403a6d0b701de
83897,1,,400,32,55f6bc53bdd9d9b8aa64
83972,,1,1234,16,697cd11080aad6a3e083
83988,1,,100,12,4002e5cae4d76ac33398
84075,1,,100,33,6390e8dcc05037743a81
84105,,2,375,12,daeb8a598a6537688002
84117,1,,150,12,d1550c8fe4222cdf35db
84182,,1,1001,55,00dc2d5b0c1271090876
84207,1,,200,25,9767a018916452b620ea
84267,,1,1050,29,9d1af9688dd3ffbd2a91
84271,1,,105,10,e06a11d3f0afb9a53e3b
84312,1,,1000,8,9d1af9688dd3ffbd2a91
84315,1,,200,15,14c6d8fed9e84dc0ef6f
84689,,2,150,11,6e84d6fa0af9a10c803a
84695,1,,380,25,19788631496e9405abee
84737,,2,400,56,f3867321a6695be67713
84811,1,,350,33,11ff4b03931eca91e01c
84856,,1,3000,47,9f32c27563945a0f58e4
84858,,1,1100,18,273f325f22f61f48305e
84974,2,,70,18,b66b76fccda689d080df
85013,,1,1100,12,273f325f22f61f48305e
85051,,2,750,39,bdf34e306ac05225f941
85056,2,,75,14,4a1d5cefe12d9dceddc1
85082,1,,86,21,1f71f5e066e555bc970e
85085,,2,60,12,b66b76fccda689d080df
85161,1,,100,18,5eef0eb8fdabbb9158b7
85203,,1,1001,34,b2df519881c63a2d2a72
85228,,2,60,61,2490182bc28f6ca0a76a
85275,,1,1738,40,625ef2c9227c0bfa9e19
85319,1,,120,30,225b0f607dd850053294
85324,1,,1000,11,625ef2c9227c0bfa9e19
85419,,2,300,35,af95a6f1fdb1d5ea2e47
85646,,2,300,28,66ba858f5b70d7a073e0
85648,1,,300,35,66ba858f5b70d7a073e0
85793,,2,200,15,330c38a8371db1efedf1
85975,1,,95,48,8d980d121408935f5e8e
86044,,2,400,28,8871d24b830ae11e6f06
86084,1,,150,25,65e110621a9c9aa3d353
86167,1,,,10,94f640462c5aaf57c5a6
86199,1,,200,14,5f185033a5812733a278
86366,1,,110,17,c5404febd4bc7e29fc92
86367,1,,160,24,fc26a39e59508ad25bc2
86391,,2,400,59,477dcd962fa2b218d3fb
86530,1,,150,39,60a7b30b23a64f25769f
86536,1,,120,12,43d6e63190de87b442d5
86632,1,,120,16,6d4dcec5d6c8c2e86a1e
86766,,2,300,32,c53e31707e98625cf105
86810,,1,1001,14,504d26dea6cfcc759653
86854,1,,300,10,bdcf485de4f3797532b4
86938,1,,90,27,7027e1e407686fa7e6ab
87176,1,,90,17,e3342a7dc00a46dce9dd
87294,1,,290,12,bbe8658e15a25ad39830
87339,1,,200,15,8a56d06e7e7bd0005b9c
87389,1,,200,8,bcfcdd061d9c59181fab
87540,1,,300,29,037c0e55cd69e9f67cf4
87786,,2,,10,127a2f8bfa5f443d73ef
87796,,1,200,9,e24d4d97d1d159f71aff
87808,,2,500,39,ad574eaa3fc5d3caa9a2
88014,,1,2000,15,e3f59e38fc4c0e45a7ed
