testId,1,2,timeSpent,uid
69540,,1,116,17559239ccbdf988fd5d
69573,1,,22,9fb52a87517e502c127b
69680,,1,39,fdec3abb7f90d8628c2a
69968,,1,35,0cd5ed7c4e382f4b8003
69979,2,,57,61430a1f25d01e69b389
69993,2,,30,441ee08d26520e22c399
70095,2,,53,d9b72b38b48e196a229c
70232,,2,31,a7bc251ef2cb1e035323
70241,,2,42,070b420ef4ddde1471d2
70313,,1,16,29ffc44303b489bb2d52
70347,1,,32,fa5c7473398e9372358c
70367,,2,25,84c028680fb8561bb4da
70417,1,,42,075412a48aa6f8611c10
70425,1,,59,10b55376b98234599bad
70427,,1,12,10b55376b98234599bad
70459,1,,49,04abaa9c6b7bfb0e653b
70718,,1,50,76afa22b3a5fecf79671
70742,1,,68,effa801f07878df16749
70839,,2,48,815c37a7505ccf794a23
70427,,,1,10b55376b98234599bad
70885,,2,53,c7d6d61e83e241f0821b
70981,1,,37,37df7e3342fb0d8ba62d
71046,,2,23,8e8fcd00f8644d64dc5e
71065,,2,69,3743818193f565869cc7
71109,,2,32,4641f77219441e570792
71192,2,,41,df8e3627d7b0786578d5
71219,,1,65,cbe6fe7da138c47a30f3
71281,,1,51,a3e0e8d823a355e293ed
71345,2,,87,ae2617f3baed7897e5f6
71364,2,,52,2f61ae1e6558f9b09604
71459,,2,49,48c2f025984f9f00bfa2
71522,2,,40,d5ebd2c65f2d74519623
71546,,2,38,a439a64c818ac7cb09e5
71551,,1,26,14efd0f765a4dec35dbb
71569,,2,82,989de5b51bda1d8aa8e6
71627,,2,51,a231bfdcc1457e6e72bd
71710,1,,147,7c4b46959c143b9d6bad
71756,,2,73,5cbd9766a3df7992a836
71768,2,,71,f58aace14f47571910fa
71806,2,,56,9b9ec980232e640ef258
71888,1,,41,e9e1508ad9a57b990cbd
71934,,2,21,b98228c16078b16c1e78
71759,,,10,5cbd9766a3df7992a836
71806,,,4,9b9ec980232e640ef258
71885,,,15,6cc6977e1d62e6f4e5c8
72167,,1,35,176319db4edab822e4ed
72257,,2,31,1f0f159835d251879f5d
72268,1,,41,c8bc52a655ffef3103ad
72291,2,,57,3971cbdfc963897b6ae1
72393,,2,39,a5df34e7d8f7aaade7f3
72465,1,,144,1048177c38c500599d87
72466,2,,81,347d65945c8780dfab20
72484,2,,31,15173598cd18d9b3dcd2
72866,,2,165,d81771a5d85c3122caa3
73085,1,,69,97c2b60c582715bcb286
72552,,,2,dfc749ddd14591cdc55f
72794,,1,68,1fea6eeb7dbcc12f603d
73457,2,,64,7f7f063998c4a6079c30
73745,1,,62,77480f94862f4f3fd6ef
73750,,1,27,8d22823969b94bd4a12a
73865,2,,33,70ea9eba9da1e3fed0d3
73915,,2,26,57e17698456bbb61abdb
73954,,2,56,45f9f2677959c180d286
73987,2,,12,ae526ff58eb4258560f0
74331,2,,22,903f4e3dc72bb5bb2c93
74365,1,,23,982eaf57e081cea1baa4
74372,1,,5,982eaf57e081cea1baa4
74395,2,,35,2e2a1f5ada2a89415980
74425,1,,24,7bd917a4a9b5a2a0873a
74470,1,,13,250707bdc9a49d328203
74512,1,,9,d739dcbd0b472599e125
74520,1,,25,095398b296f432eeb09e
74588,1,,23,c4db79152ce0e710b9bd
74691,1,,8,7a5046c7049ca6e1990e
74736,2,,21,257fdfbd6a184c719214
74776,1,,23,92085b03d5760f107e9a
74895,,2,14,a9e55def2cd9df4a96b4
74931,,2,36,600a847aa7df3f80d242
75073,1,,10,d8e5c0f06e566b1a8a09
75119,,2,18,aa5edaf8c9e3286ef269
75124,2,,16,aa5edaf8c9e3286ef269
75146,,2,80,791a742e553ba220504e
75184,,2,33,df8bbd50eb541e40c5a1
75281,1,,22,0d51187694788a75e24b
75283,,1,12,4400968fe917a17e9adf
75319,1,,31,0f4a3af9b29781e480a7
75370,2,,59,3793ac04dd7c95a048e4
75393,,2,13,dd6051586facd6feb653
75593,2,,31,7f6e926ededa9589910d
75610,2,,16,cec06aad7059d3554e4a
75660,,2,89,b59e901f0b18d16fb680
75750,,1,29,8b4a232bc29b33689273
75770,1,,46,46c9647a0d12a677379d
75883,1,,23,65c7352aa286638b380e
75909,,2,17,5208cc0535cdc11683bd
75938,,2,14,830c0d50e584312076af
75968,1,,80,9c34374870a288f6afc6
75987,,1,24,001e224a847750ec3d3b
76020,,2,39,aa1580df27a34c9c67ff
76021,1,,18,4bc9da834318df9bbfe2
76054,,1,33,46c9647a0d12a677379d
76055,,1,149,92952adf02e2ae28bf25
76088,,1,48,698464d5e720ecc6f7cb
76125,1,,41,ec823742e5032813d8e4
76228,,1,31,2890298ec53ff6ddab1a
76299,1,,75,b7c263c83e668cda3882
76307,2,,29,ff9c43e64a9db8edff8f
76317,,2,9,7c8bdbe267c267e97022
76366,,2,31,af95a6f1fdb1d5ea2e47
76367,2,,20,23416ba818ea0382d9cb
74512,,,1,d739dcbd0b472599e125
76402,2,,43,0f21ee310c0ec4b7a801
76418,,2,67,9bae83ec357d2b8a4f5c
76423,,2,39,34101a1c14f5ba3083aa
76488,2,,6,62818b3baff7075e5c62
76501,,2,5,62818b3baff7075e5c62
76503,,1,12,e3714f92c82e2f4f4aed
76521,1,,46,3fee5e414ac6db7ed7ac
76536,,1,74,1b48bc332adea88d3dc7
76571,1,,38,14681796751dee16b0c0
76573,,1,17,14681796751dee16b0c0
76595,2,,31,471d5f86f8c323c1a92e
76617,,2,27,facbd0a03479a10dedc5
76652,1,,39,c17516bd848bc473da56
76695,1,,26,feea6219de12ccbccedd
76706,1,,63,22b6a8f4b8480bf535fd
76813,2,,32,036cd22afeffb079ab3c
76828,1,,6,474bf494cc2862d09043
76843,,2,29,4f4361f64aa2c33b2e69
76857,,2,34,61c558fd40e63d897ae0
76859,,1,7,1b48bc332adea88d3dc7
76877,1,,17,3d7b01c1b702c8c439e7
76893,,2,26,14fc8690a5502ba387e2
76924,1,,12,7eff56ecfbe19d8db2b3
76965,,2,7,14fc8690a5502ba387e2
77046,2,,23,67efa95283df21e77d94
77086,2,,28,61ff56b129b8a62574bf
77113,,1,33,e8db074432b497daff91
77118,1,,18,ac9ce46f28578a9e74a8
77130,,2,37,c051ed1b4358c2704fd9
77143,2,,9,61ff56b129b8a62574bf
77154,2,,9,c051ed1b4358c2704fd9
77164,1,,17,527d91320bf4b7460b28
77202,1,,8,8b1b7f204a0f052dfd2c
77214,,2,27,90c9b8e5da32189b9da7
77243,,1,31,fe4ccf133d2e5818095f
77266,1,,113,1a1d896fa3c2fc05aa28
77283,,2,22,036cd22afeffb079ab3c
77297,,1,45,ac253ffc84d829de35b3
77305,,2,16,bb25c33d3e1bd5656fea
77349,1,,5,527d91320bf4b7460b28
