testId,1,2,3,timeSpent,uid,ineligible
40455,,2,379,13,b5506da85a5c5a63a069,1
44398,,2,300,13,1bd0aa2468265caaef66,0
44487,,1,500,31,c540dcae36c6339e7ef7,1
44550,,2,500,17,c3dcc7948f40ab9b511c,0
44568,1,,,10,282b7dedfc636aa30ae0,1
44792,1,,112,17,53b447d3135386091c0b,0
45263,1,,200,11,762f01ca42e88efbafa9,0
45646,,1,1350,19,c535c61e24111e1ca536,0
45760,1,,400,34,ff9ffe0ef45aa3289805,0
45845,1,,800,36,ae6c5b6a69010bd642c6,0
45870,1,,500,18,be0cdbecdc1619d64b04,0
46145,,2,330,62,65e4c993e7bc2f4a6c1c,0
46162,,2,700,33,f3ab8f28e3b98d689684,0
46693,,2,1000,16,f73864fd2a1cac542e29,1
46873,,2,,40,4a18594bc9344a26ef46,1
47039,,2,450,29,367fee69a8105bfaad73,0
44246,,,,1,79447fef1f72ec7e5e4f,1
47603,,1,,16,8a0883e15bc3b7a0ff7d,1
45420,,,,2,f56e4c48480684f7aa17,1
47740,,1,1500,25,af65750cae48f1d84403,0
47826,1,,300,21,8f7c5546dd008b310eb7,0
47827,1,,100,28,cc4e6249aa39ac4fa6d0,0
47871,1,,,20,d93728232218a0f4021e,1
48362,1,,100,1246,d8879e39afab5b6c8ae2,0
47872,,,,294,d93728232218a0f4021e,1
48606,1,,200,17,cdd012ecf7fcdd30f2d1,0
48679,,2,350,33,9a80b93543e011cec233,0
49052,,1,,58,66628ee66d5d41f7d3fa,1
49079,,2,325,67,b8a8633ee0bc3340a187,0
49421,,1,2000,11,ba61ac4490b26c99399f,0
49848,1,,104,18,e44b46212de6b6b38ada,0
50547,,2,300,25,bd815e1ebab527f36140,0
50613,1,,150,51,b3b99ee465189612b83d,0
50492,,,,2,2e698051e637def86480,1
50755,,2,325,16,c6fb37c67c49a9182f3d,0
50624,,,,0,4704215574360401f3ed,1
51582,,1,1500,28,d7cab108eea140eb9122,0
51686,1,,202,14,d2b99410af130dda1679,0
51689,,1,10000,31,da0cfae2280494771916,0
51703,,2,380,41,a4524f348f27ba27dab0,0
52537,1,,100,24,6078782eb44271abda62,0
52758,,2,,11,3eb3b0cc1439805d42a0,1
