gameid,person,condition,avg_user_choices,avg_bot_choices,gender,age,device
83421,901a8d1d985e8ee4b165,leanNot,0.66666666666666663,0.33333333333333331,,,
83437,21fb48797ac9747d8d22,notTestify,0.0,0.16666666666666666,,,
83504,a5553bd4cb05b4c29d26,testify,0.75,0.25,,,
83577,710c4331e00a6adc9466,testify,1.0,0.8571428571428571,,,
83585,8883a19ec15df11c86d0,notTestify,0.0,0.40000000000000002,,,
83609,154b1dc7b7c8af03bb80,leanNot,0.0,0.66666666666666663,,,
83807,c42c0196e25a18c31418,leanNot,1.0,0.40000000000000002,,,
83848,c64001515df7a33bea18,notTestify,1.0,1.0,,,
83853,e36c8f65916d1af91cf9,testify,0.80000000000000004,0.80000000000000004,,,
83869,186292a047c2688ffbfe,testify,0.5,0.75,,,
83926,e2dd06a85b6f4542df33,leanNot,0.20000000000000001,0.40000000000000002,,,
83938,186292a047c2688ffbfe,notTestify,1.0,0.875,,,
83948,186292a047c2688ffbfe,testify,0.55555555555555558,0.77777777777777779,,,
83978,186292a047c2688ffbfe,testify,0.0,0.33333333333333331,,,
84001,a9c5ef6eda5b98bbc5f0,testify,1.0,0.25,,,
84012,14b9a9a10cb2019be7f2,notTestify,0.20000000000000001,0.0,,,
84187,5d80b6c2cbede94e5e5b,testify,0.75,0.5,,,
84213,bd8c3d6d733e9793692a,notTestify,0.14285714285714285,0.42857142857142855,,,
84264,ec240df8d95038fa05c8,leanNot,0.0,0.66666666666666663,,,
84404,56a9c1aa0f25ab971117,leanNot,1.0,0.25,,,
84426,71d7b1435b7ca7dfdc19,leanNot,0.5,0.5,,,
84686,591971883d0dee27362d,testify,0.59999999999999998,0.40000000000000002,,,
84922,cf15cdda6082f7d8940b,testify,1.0,0.22222222222222221,,,
84940,ef49c65c31911b0914db,testify,0.5,0.0,,,
85052,295939649950dad8f6a4,leanNot,0.33333333333333331,0.5,,,
85182,26c7f34196de495f1c24,notTestify,1.0,1.0,,,
85186,4f1932c2aa3bb84c7401,testify,0.83333333333333337,0.5,,,
85189,886184137639f500d432,leanNot,0.5,0.25,,,
85205,4f1932c2aa3bb84c7401,leanNot,1.0,0.20000000000000001,,,
85208,d3bb6476721e4e84ac1c,leanNot,0.5,0.125,,,
85273,aea713d6d9df32f082f4,testify,0.80000000000000004,0.40000000000000002,,,
85280,f2879e1a01ecc34cb300,leanNot,1.0,0.33333333333333331,,,
85283,f4a0e7d9b6d386547825,leanNot,0.40000000000000002,0.59999999999999998,,,
85288,1d5450e3214baa7251bd,testify,1.0,0.42857142857142855,,,
85297,d4b39d9d39bdcf63cb9c,leanNot,0.59999999999999998,0.40000000000000002,,,
85354,02f9a414ef72ef00b99d,testify,1.0,0.14285714285714285,,,
85434,aa9e3050f659a12304f9,testify,0.33333333333333331,0.66666666666666663,,,
85636,68a724a4ff8cf72714c6,testify,1.0,0.5,,,
85644,5e70d7ca75acea4897e3,notTestify,0.40000000000000002,0.20000000000000001,,,
85726,68337319f985a79780c2,notTestify,0.0,0.40000000000000002,,,
85750,3e4bce110bdd3070c77e,notTestify,0.20000000000000001,0.40000000000000002,,,
85788,7e8bde8ca4348d873880,leanNot,0.59999999999999998,0.80000000000000004,,,
