gameid,uid,age,gender,device,round,reactTime,nonword,justiceWord,correct,NumChars,accuracy,rounds,chain
73104,15f381981648890bd162,,,1,103,623,0,0,1,5,0.866666666667,15.0,124
73104,15f381981648890bd162,,,1,104,632,0,0,1,7,0.866666666667,15.0,124
73104,15f381981648890bd162,,,1,105,760,0,1,1,9,0.866666666667,15.0,124
73104,15f381981648890bd162,,,1,106,495,1,0,0,6,0.866666666667,15.0,124
73104,15f381981648890bd162,,,1,107,843,1,0,1,8,0.866666666667,15.0,124
73104,15f381981648890bd162,,,1,108,568,0,1,1,5,0.866666666667,15.0,124
73104,15f381981648890bd162,,,1,109,943,1,0,0,7,0.866666666667,15.0,124
73104,15f381981648890bd162,,,1,110,1469,1,0,1,5,0.866666666667,15.0,124
73104,15f381981648890bd162,,,1,111,482,0,1,1,4,0.866666666667,15.0,124
73104,15f381981648890bd162,,,1,112,970,0,1,1,9,0.866666666667,15.0,124
73104,15f381981648890bd162,,,1,113,1470,0,1,1,10,0.866666666667,15.0,124
73104,15f381981648890bd162,,,1,114,1501,1,0,1,7,0.866666666667,15.0,124
73104,15f381981648890bd162,,,1,115,722,0,0,1,6,0.866666666667,15.0,124
73135,93f6efd5189bc2f27b54,,,1,101,2747,0,1,1,10,0.933333333333,15.0,50
73135,93f6efd5189bc2f27b54,,,1,102,916,1,0,1,7,0.933333333333,15.0,50
73135,93f6efd5189bc2f27b54,,,1,103,877,0,0,1,6,0.933333333333,15.0,50
73135,93f6efd5189bc2f27b54,,,1,104,668,0,1,1,4,0.933333333333,15.0,50
73135,93f6efd5189bc2f27b54,,,1,105,569,0,0,1,5,0.933333333333,15.0,50
73135,93f6efd5189bc2f27b54,,,1,106,823,1,0,1,6,0.933333333333,15.0,50
73135,93f6efd5189bc2f27b54,,,1,107,654,1,0,1,5,0.933333333333,15.0,50
73135,93f6efd5189bc2f27b54,,,1,108,676,0,0,1,7,0.933333333333,15.0,50
73135,93f6efd5189bc2f27b54,,,1,109,804,0,1,1,5,0.933333333333,15.0,50
73135,93f6efd5189bc2f27b54,,,1,110,1835,1,0,1,9,0.933333333333,15.0,50
73135,93f6efd5189bc2f27b54,,,1,111,1450,1,0,1,6,0.933333333333,15.0,50
73135,93f6efd5189bc2f27b54,,,1,112,580,0,1,0,5,0.933333333333,15.0,50
73135,93f6efd5189bc2f27b54,,,1,113,772,0,0,1,7,0.933333333333,15.0,50
73135,93f6efd5189bc2f27b54,,,1,114,634,0,0,1,7,0.933333333333,15.0,50
73135,93f6efd5189bc2f27b54,,,1,115,979,0,1,1,4,0.933333333333,15.0,50
73170,7c1013224b65a081d974,5,1,1,101,1481,0,0,1,6,0.866666666667,15.0,118
73170,7c1013224b65a081d974,5,1,1,102,1067,0,1,1,4,0.866666666667,15.0,118
73170,7c1013224b65a081d974,5,1,1,103,1167,1,0,1,4,0.866666666667,15.0,118
73170,7c1013224b65a081d974,5,1,1,104,1258,0,1,1,10,0.866666666667,15.0,118
73170,7c1013224b65a081d974,5,1,1,105,1177,1,0,1,6,0.866666666667,15.0,118
73170,7c1013224b65a081d974,5,1,1,106,1346,0,1,1,10,0.866666666667,15.0,118
73170,7c1013224b65a081d974,5,1,1,107,1196,0,1,1,5,0.866666666667,15.0,118
73170,7c1013224b65a081d974,5,1,1,108,1150,1,0,0,7,0.866666666667,15.0,118
73170,7c1013224b65a081d974,5,1,1,109,1524,1,0,0,7,0.866666666667,15.0,118
73170,7c1013224b65a081d974,5,1,1,110,1373,0,0,1,6,0.866666666667,15.0,118
73170,7c1013224b65a081d974,5,1,1,111,1229,0,0,1,6,0.866666666667,15.0,118
73170,7c1013224b65a081d974,5,1,1,112,1051,0,1,1,4,0.866666666667,15.0,118
73170,7c1013224b65a081d974,5,1,1,113,1124,0,0,1,6,0.866666666667,15.0,118
73170,7c1013224b65a081d974,5,1,1,114,1271,1,0,1,9,0.866666666667,15.0,118
73170,7c1013224b65a081d974,5,1,1,115,1166,0,0,1,7,0.866666666667,15.0,118
73176,a7927a93b0ac95b336ba,,,1,101,2804,0,1,1,10,0.933333333333,15.0,287
73176,a7927a93b0ac95b336ba,,,1,102,1057,1,0,1,5,0.933333333333,15.0,287
73176,a7927a93b0ac95b336ba,,,1,103,1168,1,0,0,7,0.933333333333,15.0,287
73176,a7927a93b0ac95b336ba,,,1,104,2497,0,1,1,10,0.933333333333,15.0,287
73176,a7927a93b0ac95b336ba,,,1,105,980,1,0,1,4,0.933333333333,15.0,287
73176,a7927a93b0ac95b336ba,,,1,106,863,0,1,1,4,0.933333333333,15.0,287
73176,a7927a93b0ac95b336ba,,,1,107,1300,1,0,1,7,0.933333333333,15.0,287
73176,a7927a93b0ac95b336ba,,,1,108,956,0,0,1,5,0.933333333333,15.0,287
73176,a7927a93b0ac95b336ba,,,1,109,1178,0,0,1,5,0.933333333333,15.0,287
73176,a7927a93b0ac95b336ba,,,1,110,793,0,1,1,4,0.933333333333,15.0,287
73176,a7927a93b0ac95b336ba,,,1,111,961,0,0,1,6,0.933333333333,15.0,287
73176,a7927a93b0ac95b336ba,,,1,112,971,0,0,1,5,0.933333333333,15.0,287
73176,a7927a93b0ac95b336ba,,,1,113,1185,0,0,1,7,0.933333333333,15.0,287
73176,a7927a93b0ac95b336ba,,,1,114,2188,1,0,1,8,0.933333333333,15.0,287
73176,a7927a93b0ac95b336ba,,,1,115,585,0,1,1,4,0.933333333333,15.0,287
73202,4f7a4c1aee42e5c8e8b5,,,1,101,1697,1,0,1,9,0.866666666667,15.0,48
73202,4f7a4c1aee42e5c8e8b5,,,1,102,1033,1,0,1,6,0.866666666667,15.0,48
73202,4f7a4c1aee42e5c8e8b5,,,1,103,640,0,0,1,5,0.866666666667,15.0,48
73202,4f7a4c1aee42e5c8e8b5,,,1,104,593,0,1,1,5,0.866666666667,15.0,48
73202,4f7a4c1aee42e5c8e8b5,,,1,105,813,0,1,1,10,0.866666666667,15.0,48
73202,4f7a4c1aee42e5c8e8b5,,,1,106,1064,0,1,0,10,0.866666666667,15.0,48
73202,4f7a4c1aee42e5c8e8b5,,,1,107,870,0,0,1,7,0.866666666667,15.0,48
73202,4f7a4c1aee42e5c8e8b5,,,1,108,621,0,1,1,4,0.866666666667,15.0,48
73202,4f7a4c1aee42e5c8e8b5,,,1,109,621,0,0,1,6,0.866666666667,15.0,48
73202,4f7a4c1aee42e5c8e8b5,,,1,110,1040,1,0,0,7,0.866666666667,15.0,48
73202,4f7a4c1aee42e5c8e8b5,,,1,111,623,0,0,1,5,0.866666666667,15.0,48
73202,4f7a4c1aee42e5c8e8b5,,,1,112,708,0,1,1,10,0.866666666667,15.0,48
73202,4f7a4c1aee42e5c8e8b5,,,1,113,634,0,0,1,5,0.866666666667,15.0,48
73202,4f7a4c1aee42e5c8e8b5,,,1,114,936,1,0,1,4,0.866666666667,15.0,48
73202,4f7a4c1aee42e5c8e8b5,,,1,115,733,1,0,1,4,0.866666666667,15.0,48
73224,de2401f0e4e17d0c644d,,,1,101,855,0,0,1,6,1.0,15.0,
73224,de2401f0e4e17d0c644d,,,1,102,872,0,0,1,5,1.0,15.0,
73224,de2401f0e4e17d0c644d,,,1,103,887,0,0,1,5,1.0,15.0,
73224,de2401f0e4e17d0c644d,,,1,104,812,0,0,1,7,1.0,15.0,
73224,de2401f0e4e17d0c644d,,,1,105,810,0,1,1,9,1.0,15.0,
73224,de2401f0e4e17d0c644d,,,1,106,715,0,1,1,4,1.0,15.0,
73224,de2401f0e4e17d0c644d,,,1,107,849,1,0,1,6,1.0,15.0,
73224,de2401f0e4e17d0c644d,,,1,108,700,1,0,1,6,1.0,15.0,
73224,de2401f0e4e17d0c644d,,,1,109,760,0,0,1,6,1.0,15.0,
73224,de2401f0e4e17d0c644d,,,1,110,715,0,1,1,4,1.0,15.0,
73224,de2401f0e4e17d0c644d,,,1,111,680,0,1,1,9,1.0,15.0,
73224,de2401f0e4e17d0c644d,,,1,112,726,1,0,1,5,1.0,15.0,
73224,de2401f0e4e17d0c644d,,,1,113,869,1,0,1,6,1.0,15.0,
73224,de2401f0e4e17d0c644d,,,1,114,833,1,0,1,6,1.0,15.0,
73224,de2401f0e4e17d0c644d,,,1,115,1186,0,1,1,5,1.0,15.0,
73229,a7b847156dc7f6c498b2,,,1,101,1074,0,0,1,6,0.933333333333,15.0,2
73229,a7b847156dc7f6c498b2,,,1,102,593,1,0,1,6,0.933333333333,15.0,2
73229,a7b847156dc7f6c498b2,,,1,103,828,0,0,1,7,0.933333333333,15.0,2
73229,a7b847156dc7f6c498b2,,,1,104,586,0,0,1,6,0.933333333333,15.0,2
73229,a7b847156dc7f6c498b2,,,1,105,862,0,1,1,9,0.933333333333,15.0,2
73229,a7b847156dc7f6c498b2,,,1,106,605,1,0,1,5,0.933333333333,15.0,2
73229,a7b847156dc7f6c498b2,,,1,107,1130,0,1,1,9,0.933333333333,15.0,2
73229,a7b847156dc7f6c498b2,,,1,108,1183,1,0,0,7,0.933333333333,15.0,2
73229,a7b847156dc7f6c498b2,,,1,109,772,0,1,1,4,0.933333333333,15.0,2
73229,a7b847156dc7f6c498b2,,,1,110,592,1,0,1,4,0.933333333333,15.0,2
73229,a7b847156dc7f6c498b2,,,1,111,739,0,0,1,6,0.933333333333,15.0,2
73229,a7b847156dc7f6c498b2,,,1,112,544,0,1,1,5,0.933333333333,15.0,2
73229,a7b847156dc7f6c498b2,,,1,113,1216,0,1,1,10,0.933333333333,15.0,2
73229,a7b847156dc7f6c498b2,,,1,114,778,1,0,1,6,0.933333333333,15.0,2
73229,a7b847156dc7f6c498b2,,,1,115,725,0,0,1,7,0.933333333333,15.0,2
73284,750a4a00ffcbe67e5db7,,,1,101,1460,1,0,0,7,0.933333333333,15.0,140
73284,750a4a00ffcbe67e5db7,,,1,102,564,0,1,1,4,0.933333333333,15.0,140
73284,750a4a00ffcbe67e5db7,,,1,103,588,1,0,1,6,0.933333333333,15.0,140
73284,750a4a00ffcbe67e5db7,,,1,104,811,1,0,1,6,0.933333333333,15.0,140
73284,750a4a00ffcbe67e5db7,,,1,105,492,0,0,1,5,0.933333333333,15.0,140
73284,750a4a00ffcbe67e5db7,,,1,106,983,0,0,1,7,0.933333333333,15.0,140
73284,750a4a00ffcbe67e5db7,,,1,107,721,0,0,1,7,0.933333333333,15.0,140
73284,750a4a00ffcbe67e5db7,,,1,108,571,0,0,1,7,0.933333333333,15.0,140
73284,750a4a00ffcbe67e5db7,,,1,109,657,0,1,1,10,0.933333333333,15.0,140
73284,750a4a00ffcbe67e5db7,,,1,110,780,0,1,1,10,0.933333333333,15.0,140
73284,750a4a00ffcbe67e5db7,,,1,111,638,1,0,1,4,0.933333333333,15.0,140
73284,750a4a00ffcbe67e5db7,,,1,112,517,0,1,1,4,0.933333333333,15.0,140
73284,750a4a00ffcbe67e5db7,,,1,113,785,0,0,1,7,0.933333333333,15.0,140
73284,750a4a00ffcbe67e5db7,,,1,114,489,0,1,1,4,0.933333333333,15.0,140
73284,750a4a00ffcbe67e5db7,,,1,115,499,1,0,1,5,0.933333333333,15.0,140
73415,4a1f0fa3dcffd49aab23,,,1,101,1409,0,0,1,6,1.0,15.0,259
73415,4a1f0fa3dcffd49aab23,,,1,102,1441,0,1,1,5,1.0,15.0,259
73415,4a1f0fa3dcffd49aab23,,,1,103,1249,0,1,1,5,1.0,15.0,259
73415,4a1f0fa3dcffd49aab23,,,1,104,2530,0,1,1,10,1.0,15.0,259
73415,4a1f0fa3dcffd49aab23,,,1,105,1299,1,0,1,6,1.0,15.0,259
73415,4a1f0fa3dcffd49aab23,,,1,106,2338,1,0,1,7,1.0,15.0,259
73415,4a1f0fa3dcffd49aab23,,,1,107,1705,1,0,1,7,1.0,15.0,259
73415,4a1f0fa3dcffd49aab23,,,1,108,1372,0,0,1,6,1.0,15.0,259
73415,4a1f0fa3dcffd49aab23,,,1,109,1330,1,0,1,5,1.0,15.0,259
73415,4a1f0fa3dcffd49aab23,,,1,110,1203,0,0,1,6,1.0,15.0,259
73415,4a1f0fa3dcffd49aab23,,,1,111,956,0,1,1,4,1.0,15.0,259
73415,4a1f0fa3dcffd49aab23,,,1,112,1456,1,0,1,4,1.0,15.0,259
73415,4a1f0fa3dcffd49aab23,,,1,113,1101,0,1,1,5,1.0,15.0,259
73415,4a1f0fa3dcffd49aab23,,,1,114,897,0,0,1,6,1.0,15.0,259
73415,4a1f0fa3dcffd49aab23,,,1,115,1048,0,0,1,6,1.0,15.0,259
73453,0633627066210afdb584,,,1,101,639,0,1,1,10,0.866666666667,15.0,353
73453,0633627066210afdb584,,,1,102,543,1,0,1,5,0.866666666667,15.0,353
73453,0633627066210afdb584,,,1,103,761,0,1,1,10,0.866666666667,15.0,353
73453,0633627066210afdb584,,,1,104,654,0,0,0,7,0.866666666667,15.0,353
73453,0633627066210afdb584,,,1,105,656,0,1,1,9,0.866666666667,15.0,353
73453,0633627066210afdb584,,,1,106,553,1,0,1,6,0.866666666667,15.0,353
73453,0633627066210afdb584,,,1,107,767,0,0,1,7,0.866666666667,15.0,353
73453,0633627066210afdb584,,,1,108,646,1,0,1,7,0.866666666667,15.0,353
73453,0633627066210afdb584,,,1,109,625,1,0,1,4,0.866666666667,15.0,353
73453,0633627066210afdb584,,,1,110,617,0,1,1,4,0.866666666667,15.0,353
73453,0633627066210afdb584,,,1,111,516,0,0,1,6,0.866666666667,15.0,353
73453,0633627066210afdb584,,,1,112,660,0,0,0,7,0.866666666667,15.0,353
73453,0633627066210afdb584,,,1,113,579,1,0,1,5,0.866666666667,15.0,353
73453,0633627066210afdb584,,,1,114,520,0,1,1,9,0.866666666667,15.0,353
